transaction_id,transaction_date,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail
17345,2/1/2023,5,Lower Manhattan,49,3,Tea,Brewed Black tea,English Breakfast Lg
17347,2/1/2023,5,Lower Manhattan,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
17348,2/1/2023,5,Lower Manhattan,40,3.75,Coffee,Barista Espresso,Cappuccino
17349,2/1/2023,5,Lower Manhattan,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg
17354,2/1/2023,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg
17361,2/1/2023,5,Lower Manhattan,25,2.2,Coffee,Organic brewed coffee,Brazilian Sm
17365,2/1/2023,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg
17368,2/1/2023,8,Hell's Kitchen,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
17370,2/1/2023,8,Hell's Kitchen,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
17372,2/1/2023,8,Hell's Kitchen,57,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
17376,2/1/2023,5,Lower Manhattan,43,3,Tea,Brewed herbal tea,Lemon Grass Lg
17380,2/1/2023,8,Hell's Kitchen,39,4.25,Coffee,Barista Espresso,Latte Rg
17382,2/1/2023,8,Hell's Kitchen,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
17385,2/1/2023,5,Lower Manhattan,26,3,Coffee,Organic brewed coffee,Brazilian Rg
17387,2/1/2023,5,Lower Manhattan,50,2.5,Tea,Brewed Black tea,Earl Grey Rg
17389,2/1/2023,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
17390,2/1/2023,5,Lower Manhattan,56,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
17392,2/1/2023,5,Lower Manhattan,44,2.5,Tea,Brewed herbal tea,Peppermint Rg
17394,2/1/2023,5,Lower Manhattan,48,2.5,Tea,Brewed Black tea,English Breakfast Rg
17395,2/1/2023,8,Hell's Kitchen,46,2.5,Tea,Brewed Green tea,Serenity Green Tea Rg
17396,2/1/2023,8,Hell's Kitchen,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg
17397,2/1/2023,5,Lower Manhattan,54,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
17399,2/1/2023,8,Hell's Kitchen,59,4.5,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
17403,2/1/2023,5,Lower Manhattan,37,3,Coffee,Barista Espresso,Espresso shot
17405,2/1/2023,5,Lower Manhattan,55,4,Tea,Brewed Chai tea,Morning Sunrise Chai Lg
17410,2/1/2023,8,Hell's Kitchen,30,3,Coffee,Gourmet brewed coffee,Columbian Medium Roast Lg
17413,2/1/2023,8,Hell's Kitchen,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg
17420,2/1/2023,8,Hell's Kitchen,49,3,Tea,Brewed Black tea,English Breakfast Lg
17425,2/1/2023,5,Lower Manhattan,53,3,Tea,Brewed Chai tea,Traditional Blend Chai Lg
